display_order	entry_id	context_he	context_en
1	madad	מדדתי גם את החום, והוא בסדר.	I also measured the temperature, and it's fine.
2	mishkal	תעלי בבקשה על המשקל.	Please step on the scale.
3	govah	קודם משקל וגובה.	First weight and height.
4	machshir	אני שמה לך את המכשיר על היד.	I'm putting the device on your arm.
5	etzba	תני לי את האצבע.	Give me your finger.
6	chamtzan	מכשיר קטן שמראה את רמת החמצן.	A small device that shows the oxygen level.
7	achuz	רמת החמצן היא 98 אחוז.	The oxygen level is 98 percent.
8	totzaa	זאת תוצאה מצוינת.	That's an excellent result.
9	takin	הכל תקין לגמרי.	Everything is completely normal.
10	amok	נשימה עמוקה אחת.	One deep breath.
11	medida	נעשה מדידה נוספת.	We'll do another measurement.
12	sulam	בסולם מ-1 עד 10, כמה חזק הכאב?	On a scale from 1 to 10, how strong is the pain?
13	yad	אני שמה לך את המכשיר על היד.	I'm putting the device on your arm.
14	divuach	אני כותבת דיווח לרופאה.	I'm writing a report for the doctor.
