display_order	entry_id	context_he	context_en
1	tipul	סיימנו את הטיפול ואנחנו משחררים אותך הביתה.	We've finished the treatment and we're discharging you home.
2	mirsham	הנה מרשם לתרופות שאתה לוקח.	Here's a prescription for the medications you're taking.
3	minun	המינון הוא כדור אחד שלוש פעמים ביום.	The dosage is one pill three times a day.
4	kadur	כדור אחד שלוש פעמים ביום, אחרי הארוחה.	One pill three times a day, after the meal.
5	arucha	כדור אחד שלוש פעמים ביום, אחרי הארוחה.	One pill three times a day, after the meal.
6	zrika	האחות נתנה לי זריקה כל בוקר.	The nurse gave me an injection every morning.
7	menucha	חשוב מאוד גם מנוחה בבית.	Rest at home is also very important.
8	ishur	יש לכם אישור מחלה בשבילי?	Do you have a sick-note for me?
9	tofes	הכנתי לך את טופס השחרור ואת אישור המחלה.	I've prepared the discharge form and the sick-note for you.
10	shichrur	הכנתי לך את טופס השחרור ואת אישור המחלה.	I've prepared the discharge form and the sick-note for you.
11	hafnaya	במכתב השחרור יש גם הפנייה לרופא מומחה.	In the discharge letter there's also a referral to a specialist.
12	tor	תקבע תור למרפאה בעוד שבועיים, לביקורת.	Make an appointment at the clinic in two weeks, for a check-up.
13	miyun	אם יש חום גבוה או כאב חזק, תחזור מיד למיון.	If there's high fever or strong pain, return immediately to the ER.
14	hachlama	החלמה מהירה, ותשמור על עצמך!	Speedy recovery, and take care of yourself!
