line_order	speaker	he	en
1	רופאה	שלום דוד, יש לי חדשות טובות. סיימנו את הטיפול ואנחנו משחררים אותך הביתה.	Hello David, I have good news. We've finished the treatment and we're discharging you home.
2	מטופל	תודה רבה, דוקטור. מה אני צריך לעשות בבית?	Thank you very much, doctor. What do I need to do at home?
3	רופאה	קודם כל, הנה מרשם לתרופות שאתה לוקח.	First of all, here's a prescription for the medications you're taking.
4	רופאה	המינון הוא כדור אחד שלוש פעמים ביום, אחרי הארוחה.	The dosage is one pill three times a day, after the meal.
5	מטופל	והזריקות? האחות נתנה לי זריקה כל בוקר.	And the injections? The nurse gave me an injection every morning.
6	רופאה	כן, זריקה אחת ביום עוד שבוע. חשוב מאוד גם מנוחה בבית.	Yes, one injection a day for another week. Rest at home is also very important.
7	מטופל	אני צריך לחזור לעבודה. יש לכם אישור מחלה בשבילי?	I need to go back to work. Do you have a sick-note for me?
8	אחות	בטח. הכנתי לך את טופס השחרור ואת אישור המחלה.	Sure. I've prepared the discharge form and the sick-note for you.
9	רופאה	במכתב השחרור יש גם הפנייה לרופא מומחה, להמשך מעקב.	In the discharge letter there's also a referral to a specialist, for follow-up.
10	מטופל	מתי אני צריך לבוא שוב?	When do I need to come again?
11	רופאה	תקבע תור למרפאה בעוד שבועיים, לביקורת.	Make an appointment at the clinic in two weeks, for a check-up.
12	רופאה	ואם יש חום גבוה או כאב חזק, תחזור מיד למיון.	And if there's high fever or strong pain, return immediately to the ER.
13	מטופל	הבנתי. תודה על הכל.	Understood. Thank you for everything.
14	רופאה	בבקשה. החלמה מהירה, ותשמור על עצמך!	You're welcome. Speedy recovery, and take care of yourself!
