id	topic
achyan	general
avsha	cardiology
ibed	general
omnam	general
achen	general
ofen	general
ach-aval	general
avir	general
isuf	lab_imaging
orech	general
ochlusiya	general
etgar	general
eretz	general
optimi	mental_health
elasti	procedures
ever	anatomy
emuna	general
eizeshehu	general
afuy	general
efsharut	general
optzia	general
ariza	medications
ezrach	general
alternativi	general
aplikatzia	general
eichut	general
eshech	genitourinary
aroch	general
afiya	general
energia	general
egrof	anatomy
emtza	general
emtzai	general
adon	general
efshari	general
ishon	anatomy
oreach	general
interes	general
empatia	mental_health
emun	general
aklim	general
alimut	mental_health
alim	mental_health
artzi	general
omanut	general
oman	general
amen	general
ichuy	procedures
ovdan	general
ofi	general
ofyani	general
avatiach	general
avak	general
ason	emergency
edim	respiratory
elohim	general
baal-chaim	general
bashel	general
bemeshech	general
boded	general
beiti	general
benigud	general
beit-shechi	anatomy
beit-knesset	general
baluta	endocrine
blita	msk
bituach	general
benosaf	general
biologia	general
bikoret	general
betichut	general
bayshan	mental_health
behechlet	general
beitzit	obgyn
bitzua	general
bechi	general
bchina	general
bakara	general
behonot	anatomy
beit-kafe	general
bizman	general
beichur	general
bilbul	neuro
blima	general
beita	general
bilvad	general
bituy	general
bilti-efshari	general
bedome-le	general
beshone-mi	general
bimkom	general
bdicha	general
beinoni	symptoms
bekarov	general
beikvot	general
bchirot	general
bira	general
botnim	general
bizbuz	general
beyoter	general
godesh	respiratory
galuy	general
geruy	dermatology
gorem	general
gidul	general
gufani	general
gumi	general
gamish	general
gulgolet	anatomy
givun	general
glida	general
gabot	anatomy
garush	general
geneti	general
genetika	general
gisha	procedures
gufiya	general
gveret	general
gehinom	general
girsa	general
geza	general
gaz	gastro
gibor	general
darash	general
dod	general
diyun	general
dal	general
dilul	medications
devek	general
dgima	lab_imaging
dofen	anatomy
dchifa	general
dati	general
digitali	general
dimyon	general
dagan	general
delek	general
hagdara	general
hityachasut	general
hitmatzut	neuro
hekim	general
hetkef	emergency
himanut	general
he-ela	general
hikpid	medications
hachshara	general
heitev	general
hitnagdut	general
helem	emergency
hidgim	general
hafrasha	symptoms
hitatshut	respiratory
hityabshut	symptoms
hitkavtzut	symptoms
hetzig	general
halichon	msk
hashtala	procedures
hafchata	medications
hashpaa	medications
harchava	cardiology
hashvaa	general
hatzara	cardiology
hitztabrut	symptoms
hafrada	general
hakala	symptoms
haskala	general
hadgasha	general
hidarderut	symptoms
hadbaka	infectious
he-eder	general
haza-a	symptoms
herayon	obgyn
hapala	obgyn
hachnasa	general
haavara	general
hamtana	general
hartzaa	general
higayoni	general
hatzaga	general
hafraya	obgyn
haskama	procedures
hasara	procedures
hosafa	general
hochacha	general
hitlabtut	mental_health
hadracha	general
hafsakat-chashmal	general
hadlaka	general
hora-a	medications
hitmakrut	mental_health
handasa	general
hityaatzut	general
hana-a	general
hafuch	general
hisha-anut	general
hitmachut	general
hekef	lab_imaging
hamon	general
hatra-a	general
hanhala	general
hazaya	mental_health
humor	general
heikerut	general
hakdama	general
havtacha	general
hefsed	general
hechrechi	general
hitpatrut	general
hatzba-a	general
haklata	general
hakara	neuro
hitnahagut	mental_health
hachlafa	procedures
haduk	general
veilu	general
vaada	general
vaad	general
vizuali	general
vikuach	general
vadai	general
zehirut	general
zikaron	neuro
zaniach	general
zariz	general
zakuf	general
zehe	general
zeia	symptoms
zrima	cardiology
zaazua	neuro
zavit	general
zera	genitourinary
zakan	general
zaken	general
zchuchit	general
zmani	general
zihuy	general
zvuv	general
zugiyut	mental_health
zochel	general
zchila	pediatrics
zahav	general
chalal	anatomy
chave	general
chelbon	lab_imaging
cheshek	mental_health
chabala	emergency
choser	general
chumtza	gastro
cheresh	symptoms
chasifa	general
chavaya	general
chul	general
charig	lab_imaging
chenek	emergency
chinuch	general
chasima	gastro
chavisha	procedures
chovesh	emergency
choker	general
chaluk	procedures
chut	procedures
chelki	general
chodshi	general
chaim	general
chad-paami	procedures
chitzoni	medications
chulya	anatomy
chishuv	medications
choshech	general
chalufi	general
chor	general
choveret	general
chatuna	general
chatan	general
chiloni	general
chipus	general
chatzot	general
chiver	symptoms
chaziya	general
chasar-savlanut	mental_health
chakira	general
chimum	general
chazara	general
chilazon	general
chashud	lab_imaging
chemla	mental_health
chazon	general
chiyuni	general
choma	general
chasar-nisayon	general
chita	general
chasa	general
cherek	dermatology
chibur	general
chumus	general
chisur	general
chiluk	general
chatzer	general
chafisa	general
terem	general
tipa	medications
tvach	lab_imaging
tishtush	symptoms
tavla	general
tipul-nimratz	emergency
tigun	general
tivoni	general
chashmali	general
tiftuf	procedures
teror	general
tisa	general
tipusi	general
tabaat	general
tipuli	medications
techina	general
tavliya	medications
yatziv	general
yitachen	general
yeutz	general
yerech	anatomy
yail	medications
yeter	cardiology
yadua	general
yecholet	general
yeilut	medications
yotze-dofen	general
yesodi	general
yechida	procedures
yashvan	anatomy
yedid	general
yehudi	general
yonek	pediatrics
yovesh	symptoms
yemama	medications
yokrati	general
yichudi	general
yaldut	pediatrics
yam-tichon	general
yam-hamelach	general
yekum	general
yayin	general
yatush	dermatology
yachas	general
yotze-min-haklal	general
yetzira	general
yotzer	general
kamut	general
keshel	general
kaasher	general
kaet	general
krita	procedures
kis	anatomy
kafuf	msk
kli	anatomy
katava	general
kenes	general
kevel	general
kaful	symptoms
kasher	general
kolshehu	general
kol-hakavod	general
ketem	dermatology
kfafot	procedures
kaze	general
kazot	general
ka-ele	general
kavod	general
kanaf	general
kibuy	general
kala	general
kise-galgalim	msk
