line_order	speaker	he	en
1	רופאה	שלום. עכשיו נעשה בדיקה גופנית קצרה.	Hello. Now we'll do a short physical exam.
2	מטופל	בסדר גמור, דוקטור.	Sure, doctor.
3	רופאה	קודם נסתכל על הגרון. פתח את הפה ותגיד אה.	First let's look at your throat. Open your mouth and say ah.
4	רופאה	הגרון קצת אדום, אבל לא נורא.	The throat is a bit red, but it's nothing serious.
5	רופאה	עכשיו נבדוק את העין. תסתכל למעלה.	Now let's check the eye. Look up.
6	רופאה	יופי. עכשיו אני מקשיבה לחזה. נשם עמוק.	Good. Now I'm listening to your chest. Breathe deeply.
7	מטופל	ככה?	Like this?
8	רופאה	מצוין. עכשיו שכב על הגב, בבקשה.	Excellent. Now lie on your back, please.
9	מטופל	כואב לי קצת בגב התחתון.	My lower back hurts a little.
10	רופאה	אני עושה קצת לחץ על הבטן.	I'm applying a little pressure on your abdomen.
11	רופאה	כאן זה רגיש?	Is it tender here?
12	מטופל	קצת, אבל אני בסדר.	A little, but I'm okay.
13	רופאה	יופי, הבדיקה נגמרת. הכל בסדר.	Great, the exam is over. Everything's fine.
