display_order	entry_id	context_he	context_en
1	bdika	עכשיו נעשה בדיקה גופנית קצרה.	Now we'll do a short physical exam.
2	garon	קודם נסתכל על הגרון.	First let's look at your throat.
3	pe	פתח את הפה ותגיד אה.	Open your mouth and say ah.
4	patach	פתח את הפה ותגיד אה.	Open your mouth and say ah.
5	adom	הגרון קצת אדום, אבל לא נורא.	The throat is a bit red, but it's nothing serious.
6	ayin	עכשיו נבדוק את העין.	Now let's check the eye.
7	chaze	עכשיו אני מקשיבה לחזה.	Now I'm listening to your chest.
8	nasham	נשם עמוק.	Breathe deeply.
9	shachav	עכשיו שכב על הגב, בבקשה.	Now lie on your back, please.
10	gav	כואב לי קצת בגב התחתון.	My lower back hurts a little.
11	koev	כואב לי קצת בגב התחתון.	My lower back hurts a little.
12	lachatz	אני עושה קצת לחץ על הבטן.	I'm applying a little pressure on your abdomen.
13	beten	אני עושה קצת לחץ על הבטן.	I'm applying a little pressure on your abdomen.
14	ragish	כאן זה רגיש?	Is it tender here?
