display_order	entry_id	context_he	context_en
1	tluna	מה התלונה העיקרית שלך?	What is your main complaint?
2	keev	יש לי כאב חזק בחזה מהבוקר.	I have strong pain in my chest since the morning.
3	kotzer-neshima	יש לך גם קוצר נשימה?	Do you also have shortness of breath?
4	neshima	הנשימה שלי כבדה, במיוחד במאמץ.	My breathing is heavy, especially with effort.
5	lachatz-dam	נמדוד עכשיו לחץ דם ודופק.	We will now measure blood pressure and pulse.
6	dofek	נמדוד עכשיו לחץ דם ודופק.	We will now measure blood pressure and pulse.
7	chom	יש לך חום?	Do you have fever?
8	bchila	הייתה לי בחילה בבוקר.	I had nausea in the morning.
9	hakaa	הייתה לי בחילה בבוקר, בלי הקאה.	I had nausea in the morning, without vomiting.
10	alergia	יש לך אלרגיה לתרופה כלשהי?	Do you have an allergy to any medication?
11	trufa	אילו תרופות אתה לוקח באופן קבוע?	Which medications do you take regularly?
12	anamneza	נשלים עכשיו את האנמנזה ונמשיך בבדיקה.	We will now complete the medical history and continue with the examination.
